Ts_real_s,time_s,PWM_input,omega_rad_s,current_A,RPM
0.01,1.200001,70,23.0485626,0.08518,220.0974
0.01,1.210001,70,23.7841538,0.0788,227.1218
0.01,1.220001,70,23.9067536,0.06884,228.2928
0.01,1.230001,70,23.661556,0.0731,225.9512
0.01,1.240001,70,23.293759,0.08412,222.439
0.01,1.250001,70,23.9067536,0.07518,228.2928
0.01,1.260001,70,23.9067538,0.06546,228.2926
0.01,1.270001,70,23.538957,0.06588,224.7804
0.01,1.280001,70,23.7841548,0.07482,227.122
0.01,1.290001,70,23.6615566,0.07926,225.9512
0.01,1.300001,70,23.906753,0.0733,228.2928
0.01,1.310001,70,24.5197476,0.08042,234.1464
0.01,1.320001,70,23.5389578,0.0814,224.7804
0.01,1.330001,70,23.0485624,0.07698,220.0976
0.01,1.340001,70,23.5389566,0.07718,224.7804
0.01,1.350001,70,24.764945,0.07548,236.4878
0.01,1.360001,70,23.2937596,0.07346,222.439
0.01,1.370001,70,23.2937598,0.07824,222.439
0.01,1.380001,70,24.5197472,0.05576,234.1462
0.01,1.390001,70,23.2937598,0.06894,222.439
0.01,1.400001,70,23.4163582,0.06816,223.6098
0.01,1.410001,70,24.6423464,0.06734,235.317
0.01,1.420001,70,23.2937592,0.06256,222.439
0.01,1.430001,70,23.2937598,0.07778,222.439
0.01,1.440001,70,23.7841558,0.088,227.122
0.01,1.450001,70,23.7841542,0.06728,227.1218
0.01,1.460001,70,23.5389566,0.07376,224.7804
0.01,1.470001,70,24.764945,0.07088,236.4878
0.01,1.480001,70,23.0485624,0.07206,220.0976
0.01,1.490001,70,23.4163588,0.05232,223.6098
0.01,1.500001,70,24.6423462,0.0623,235.317
0.01,1.510001,70,22.8033652,0.077,217.756
0.01,1.520001,70,23.416359,0.06628,223.6098
0.01,1.530001,70,24.397149,0.08242,232.9758
0.01,1.540001,70,23.7841542,0.07204,227.122
0.01,1.550001,70,23.6615564,0.07484,225.9514
0.01,1.560001,70,22.9259638,0.07764,218.9268
0.01,1.570001,70,24.274549,0.07588,231.8048
0.01,1.580001,70,23.5389578,0.07544,224.7806
0.01,1.590001,70,24.5197464,0.07102,234.1462
0.01,1.600001,70,22.803365,0.07316,217.756
0.01,1.610001,70,24.029352,0.06768,229.4632
0.01,1.620001,70,23.2937598,0.08046,222.439
0.01,1.630001,70,24.397148,0.08206,232.9756
0.01,1.640001,70,23.1711616,0.08664,221.2682
0.01,1.650001,70,24.5197466,0.08632,234.1464
0.01,1.660001,70,24.0293522,0.077,229.4634
0.01,1.670001,70,24.0293522,0.07422,229.4634
0.01,1.680001,70,23.1711602,0.0629,221.2682
0.01,1.690001,70,23.416358,0.06356,223.6096
0.01,1.700001,70,24.2745504,0.07748,231.805
0.01,1.710001,70,23.6615556,0.05194,225.9512
0.01,1.720001,70,23.6615554,0.07124,225.951
0.01,1.730001,70,23.9067534,0.07596,228.2924
0.01,1.740001,70,23.4163586,0.0989,223.6098
0.01,1.750001,70,23.6615556,0.07456,225.9512
0.01,1.760001,70,24.3971494,0.07918,232.9756
0.01,1.770001,70,23.6615556,0.08364,225.9512
0.01,1.780001,70,23.0485632,0.06826,220.0976
0.01,1.790001,70,23.9067544,0.0695,228.2928
0.01,1.800001,70,23.5389568,0.05828,224.7804
0.01,1.810001,70,23.5389578,0.07432,224.7806
0.01,1.820001,70,24.7649448,0.0598,236.488
0.01,1.830001,70,23.2937598,0.06306,222.439
0.01,1.840001,70,23.4163594,0.0739,223.61
0.01,1.850001,70,24.2745506,0.07136,231.8052
0.01,1.860001,70,23.4163584,0.07838,223.6098
0.01,1.870001,70,23.2937606,0.06648,222.439
0.01,1.880001,70,24.0293522,0.07512,229.4636
0.01,1.890001,70,23.7841542,0.059,227.1218
0.01,1.900001,70,23.7841548,0.05804,227.1218
0.01,1.910001,70,24.0293522,0.06424,229.4634
0.01,1.920001,70,23.0485624,0.0644,220.0976
0.01,1.930001,70,23.9067542,0.0811,228.2926
0.01,1.940001,70,24.6423454,0.0648,235.3172
0.01,1.950001,70,23.2937598,0.07066,222.439
0.01,1.960001,70,23.0485632,0.1013,220.0976
0.01,1.970001,70,23.538957,0.095,224.7804
0.01,1.980001,70,24.5197472,0.07768,234.1462
0.01,1.990001,70,23.7841552,0.07046,227.122
0.01,2.000001,70,23.7841542,0.07884,227.122
0.01,2.010001,70,24.1519518,0.06148,230.6342
0.01,2.020001,70,23.6615552,0.06484,225.9512
