Ts_real_s,time_s,PWM_input,omega_rad_s,current_A,RPM
0.000000,0.015001,0.00,0.000000,0.000100,0.000
0.015000,0.030001,0.00,0.000000,0.000000,0.000
0.015000,0.045001,0.00,0.000000,0.000100,0.000
0.015000,0.060001,0.00,0.000000,0.000100,0.000
0.015000,0.075001,0.00,0.000000,0.000100,0.000
0.015000,0.090001,0.00,0.000000,0.000300,0.000
0.015000,0.105001,0.00,0.000000,0.000100,0.000
0.015000,0.120001,0.00,0.000000,0.000100,0.000
0.015000,0.135001,0.00,0.000000,0.000100,0.000
0.015000,0.150001,0.00,0.000000,-0.000200,0.000
0.015000,0.165001,0.00,0.000000,-0.000100,0.000
0.015000,0.180001,0.00,0.000000,0.000200,0.000
0.015000,0.195001,0.00,0.000000,0.000200,0.000
0.015000,0.210001,0.00,0.000000,0.000000,0.000
0.015000,0.225001,0.00,0.000000,0.000100,0.000
0.015000,0.240001,0.00,0.000000,0.000100,0.000
0.015000,0.255001,0.00,0.000000,0.000000,0.000
0.015000,0.270001,0.00,0.000000,0.000400,0.000
0.015000,0.285001,0.00,0.000000,0.000000,0.000
0.015000,0.300001,0.00,0.000000,0.000100,0.000
0.015000,0.315001,0.00,0.000000,0.000000,0.000
0.015000,0.330001,0.00,0.000000,0.000200,0.000
0.015000,0.345001,0.00,0.000000,0.000500,0.000
0.015000,0.360001,0.00,0.000000,0.000100,0.000
0.015000,0.375001,0.00,0.000000,0.000100,0.000
0.015000,0.390001,0.00,0.000000,0.000100,0.000
0.015000,0.405001,0.00,0.000000,0.000200,0.000
0.015000,0.420001,0.00,0.000000,0.000200,0.000
0.015000,0.435001,0.00,0.000000,0.000100,0.000
0.015000,0.450001,0.00,0.000000,0.000300,0.000
0.015000,0.465001,0.00,0.000000,0.000300,0.000
0.015000,0.480001,0.00,0.000000,0.000100,0.000
0.015000,0.495001,0.00,0.000000,0.000100,0.000
0.015000,0.510001,0.00,0.000000,0.000100,0.000
0.015000,0.525001,0.00,0.000000,0.000200,0.000
0.015000,0.540001,0.00,0.000000,0.000100,0.000
0.015000,0.555001,0.00,0.000000,0.000100,0.000
0.015000,0.570001,0.00,0.000000,0.000000,0.000
0.015000,0.585001,0.00,0.000000,-0.000100,0.000
0.015000,0.600001,0.00,0.000000,0.000200,0.000
0.015000,0.615001,0.00,0.000000,0.000200,0.000
0.015000,0.630001,0.00,0.000000,0.000200,0.000
0.015000,0.645001,0.00,0.000000,0.000200,0.000
0.015000,0.660001,0.00,0.000000,0.000000,0.000
0.015000,0.675001,0.00,0.000000,0.000400,0.000
0.015000,0.690001,0.00,0.000000,-0.000100,0.000
0.015000,0.705001,0.00,0.000000,0.000100,0.000
0.015000,0.720001,0.00,0.000000,0.000000,0.000
0.015000,0.735001,0.00,0.000000,0.000300,0.000
0.015000,0.750001,0.00,0.000000,0.000000,0.000
0.015000,0.765001,0.00,0.000000,0.000200,0.000
0.015000,0.780001,0.00,0.000000,-0.000100,0.000
0.015000,0.795001,0.00,0.000000,0.000000,0.000
0.015000,0.810001,0.00,0.000000,0.000200,0.000
0.015000,0.825001,0.00,0.000000,-0.000100,0.000
0.015000,0.840001,0.00,0.000000,0.000200,0.000
0.015000,0.855001,0.00,0.000000,0.000100,0.000
0.015000,0.870001,0.00,0.000000,0.000100,0.000
0.015000,0.885001,0.00,0.000000,0.000300,0.000
0.015000,0.900001,0.00,0.000000,0.000300,0.000
0.015000,0.915001,0.00,0.000000,0.000100,0.000
0.015000,0.930001,0.00,0.000000,0.000400,0.000
0.015000,0.945001,0.00,0.000000,0.000000,0.000
0.015000,0.960001,0.00,0.000000,0.000200,0.000
0.015000,0.975001,0.00,0.000000,0.000200,0.000
0.015000,0.990001,0.00,0.000000,0.000100,0.000
0.015000,1.005001,0.00,0.000000,0.000000,0.000
-0.990000,1.015001,90.00,7.764586,1.372300,74.146
0.015000,1.030001,90.00,17.572487,0.582500,167.805
0.015000,1.045001,90.00,23.702423,0.386500,226.341
0.015000,1.060001,90.00,25.337072,0.285000,241.951
0.015000,1.075001,90.00,27.789045,0.233500,265.366
0.015000,1.090001,90.00,28.606373,0.169600,273.171
0.015000,1.105001,90.00,30.241022,0.137600,288.780
0.015000,1.120001,90.00,29.423698,0.170600,280.976
0.015000,1.135001,90.00,30.241022,0.136200,288.780
0.015000,1.150001,90.00,29.423698,0.130300,280.976
0.015000,1.165001,90.00,30.241022,0.132000,288.780
0.015000,1.180001,90.00,30.241022,0.144900,288.780
0.015000,1.195001,90.00,31.058346,0.109300,296.585
0.015000,1.210001,90.00,30.241022,0.098900,288.780
0.015000,1.225001,90.00,30.241022,0.134900,288.780
0.015000,1.240001,90.00,30.241022,0.123700,288.780
0.015000,1.255001,90.00,30.241022,0.140600,288.780
0.015000,1.270001,90.00,30.241022,0.126700,288.780
0.015000,1.285001,90.00,30.241022,0.147700,288.780
0.015000,1.300001,90.00,31.058346,0.089400,296.585
0.015000,1.315001,90.00,30.241022,0.106600,288.780
0.015000,1.330001,90.00,30.241022,0.088300,288.780
0.015000,1.345001,90.00,30.241022,0.088600,288.780
0.015000,1.360001,90.00,30.241022,0.074000,288.780
0.015000,1.375001,90.00,30.241022,0.080900,288.780
0.015000,1.390001,90.00,30.241022,0.094100,288.780
0.015000,1.405001,90.00,31.875673,0.076600,304.390
0.015000,1.420001,90.00,30.241022,0.087400,288.780
0.015000,1.435001,90.00,30.241022,0.126500,288.780
0.015000,1.450001,90.00,30.241022,0.123500,288.780
0.015000,1.465001,90.00,30.241022,0.138700,288.780
0.015000,1.480001,90.00,30.241022,0.121300,288.780
0.015000,1.495001,90.00,30.241022,0.126000,288.780
0.015000,1.510001,90.00,31.875673,0.080100,304.390
0.015000,1.525001,90.00,30.241022,0.089800,288.780
0.015000,1.540001,90.00,30.241022,0.103700,288.780
0.015000,1.555001,90.00,30.241022,0.084400,288.780
0.015000,1.570001,90.00,30.241022,0.085300,288.780
0.015000,1.585001,90.00,30.241022,0.074800,288.780
0.015000,1.600001,90.00,30.241022,0.097800,288.780
0.015000,1.615001,90.00,30.241022,0.123100,288.780
0.015000,1.630001,90.00,31.875673,0.105500,304.390
0.015000,1.645001,90.00,30.241022,0.148000,288.780
0.015000,1.660001,90.00,30.241022,0.113100,288.780
0.015000,1.675001,90.00,30.241022,0.123000,288.780
0.015000,1.690001,90.00,30.241022,0.127400,288.780
0.015000,1.705001,90.00,30.241022,0.091600,288.780
0.015000,1.720001,90.00,30.241022,0.105700,288.780
0.015000,1.735001,90.00,31.875673,0.068300,304.390
0.015000,1.750001,90.00,30.241022,0.077700,288.780
0.015000,1.765001,90.00,30.241022,0.097000,288.780
0.015000,1.780001,90.00,30.241022,0.115100,288.780
0.015000,1.795001,90.00,30.241022,0.135700,288.780
0.015000,1.810001,90.00,30.241022,0.123500,288.780
0.015000,1.825001,90.00,30.241022,0.132300,288.780
0.015000,1.840001,90.00,31.875673,0.149000,304.390
0.015000,1.855001,90.00,30.241022,0.086200,288.780
0.015000,1.870001,90.00,30.241022,0.098000,288.780
0.015000,1.885001,90.00,30.241022,0.079800,288.780
0.015000,1.900001,90.00,30.649685,0.080700,292.683
0.015000,1.915001,90.00,30.649685,0.082000,292.683
0.015000,1.930001,90.00,30.241022,0.117000,288.780
0.015000,1.945001,90.00,30.241022,0.144300,288.780
0.015000,1.960001,90.00,31.875673,0.101600,304.390
0.015000,1.975001,90.00,30.241022,0.117700,288.780
0.015000,1.990001,90.00,30.241022,0.136000,288.780
0.015000,2.005001,90.00,30.241022,0.097400,288.780
-0.990000,2.015001,0.00,0.000000,0.000200,0.000
0.015000,2.030001,0.00,0.000000,0.000200,0.000
0.015000,2.045001,0.00,0.000000,0.000200,0.000
0.015000,2.060001,0.00,0.000000,0.000200,0.000
0.015000,2.075001,0.00,0.000000,0.000100,0.000
0.015000,2.090001,0.00,0.000000,0.000200,0.000
0.015000,2.105001,0.00,0.000000,0.000000,0.000
0.015000,2.120001,0.00,0.000000,0.000200,0.000
0.015000,2.135001,0.00,0.000000,0.000200,0.000
0.015000,2.150001,0.00,0.000000,0.000000,0.000
0.015000,2.165001,0.00,0.000000,0.000000,0.000
0.015000,2.180001,0.00,0.000000,0.000300,0.000
0.015000,2.195001,0.00,0.000000,0.000200,0.000
0.015000,2.210001,0.00,0.000000,0.000200,0.000
0.015000,2.225001,0.00,0.000000,0.000100,0.000
0.015000,2.240001,0.00,0.000000,0.000100,0.000
0.015000,2.255001,0.00,0.000000,0.000100,0.000
0.015000,2.270001,0.00,0.000000,0.000300,0.000
0.015000,2.285001,0.00,0.000000,0.000000,0.000
0.015000,2.300001,0.00,0.000000,0.000100,0.000
0.015000,2.315001,0.00,0.000000,0.000400,0.000
0.015000,2.330001,0.00,0.000000,0.000000,0.000
0.015000,2.345001,0.00,0.000000,0.000100,0.000
0.015000,2.360001,0.00,0.000000,0.000000,0.000
0.015000,2.375001,0.00,0.000000,0.000000,0.000
0.015000,2.390001,0.00,0.000000,0.000000,0.000
0.015000,2.405001,0.00,0.000000,0.000200,0.000
0.015000,2.420001,0.00,0.000000,0.000100,0.000
0.015000,2.435001,0.00,0.000000,0.000100,0.000
0.015000,2.450001,0.00,0.000000,0.000300,0.000
0.015000,2.465001,0.00,0.000000,0.000200,0.000
0.015000,2.480001,0.00,0.000000,0.000300,0.000
0.015000,2.495001,0.00,0.000000,0.000000,0.000
0.015000,2.510001,0.00,0.000000,0.000200,0.000
0.015000,2.525001,0.00,0.000000,0.000300,0.000
0.015000,2.540001,0.00,0.000000,0.000000,0.000
0.015000,2.555001,0.00,0.000000,0.000000,0.000
0.015000,2.570001,0.00,0.000000,0.000200,0.000
0.015000,2.585001,0.00,0.000000,0.000300,0.000
0.015000,2.600001,0.00,0.000000,0.000100,0.000
0.015000,2.615001,0.00,0.000000,0.000300,0.000
0.015000,2.630001,0.00,0.000000,0.000000,0.000
0.015000,2.645001,0.00,0.000000,0.000100,0.000
0.015000,2.660001,0.00,0.000000,0.000100,0.000
0.015000,2.675001,0.00,0.000000,0.000000,0.000
0.015000,2.690001,0.00,0.000000,0.000100,0.000
0.015000,2.705001,0.00,0.000000,0.000000,0.000
0.015000,2.720001,0.00,0.000000,0.000200,0.000
0.015000,2.735001,0.00,0.000000,0.000200,0.000
0.015000,2.750001,0.00,0.000000,0.000000,0.000
0.015000,2.765001,0.00,0.000000,0.000100,0.000
0.015000,2.780001,0.00,0.000000,0.000100,0.000
0.015000,2.795001,0.00,0.000000,0.000000,0.000
0.015000,2.810001,0.00,0.000000,0.000100,0.000
0.015000,2.825001,0.00,0.000000,0.000100,0.000
0.015000,2.840001,0.00,0.000000,-0.000100,0.000
0.015000,2.855001,0.00,0.000000,0.000200,0.000
0.015000,2.870001,0.00,0.000000,0.000000,0.000
0.015000,2.885001,0.00,0.000000,0.000100,0.000
0.015000,2.900001,0.00,0.000000,0.000200,0.000
0.015000,2.915001,0.00,0.000000,0.000200,0.000
0.015000,2.930001,0.00,0.000000,0.000200,0.000
0.015000,2.945001,0.00,0.000000,0.000000,0.000
0.015000,2.960001,0.00,0.000000,0.000100,0.000
0.015000,2.975001,0.00,0.000000,0.000400,0.000
0.015000,2.990001,0.00,0.000000,0.000000,0.000
0.015000,3.005001,0.00,0.000000,0.000400,0.000
-0.990000,3.015001,90.00,7.355925,1.225100,70.244
0.015000,3.030001,90.00,17.163822,0.619100,163.902
0.015000,3.045001,90.00,22.067772,0.425700,210.732
0.015000,3.060001,90.00,26.971722,0.281800,257.561
0.015000,3.075001,90.00,26.154400,0.224000,249.756
0.015000,3.090001,90.00,26.971722,0.134400,257.561
0.015000,3.105001,90.00,26.154400,0.144100,249.756
0.015000,3.120001,90.00,31.058346,0.110400,296.585
0.015000,3.135001,90.00,26.154400,0.146500,249.756
0.015000,3.150001,90.00,28.606373,0.122000,273.171
0.015000,3.165001,90.00,26.563061,0.118200,253.659
0.015000,3.180001,90.00,26.563061,0.099400,253.659
0.015000,3.195001,90.00,28.606373,0.113900,273.171
0.015000,3.210001,90.00,28.606373,0.079400,273.171
0.015000,3.225001,90.00,28.606373,0.088800,273.171
0.015000,3.240001,90.00,28.606373,0.101700,273.171
0.015000,3.255001,90.00,26.971722,0.086800,257.561
0.015000,3.270001,90.00,26.971722,0.083400,257.561
0.015000,3.285001,90.00,30.241022,0.077200,288.780
0.015000,3.300001,90.00,26.971722,0.098100,257.561
0.015000,3.315001,90.00,26.971722,0.123500,257.561
0.015000,3.330001,90.00,30.241022,0.105800,288.780
0.015000,3.345001,90.00,26.971722,0.148200,257.561
0.015000,3.360001,90.00,26.971722,0.118700,257.561
0.015000,3.375001,90.00,26.971722,0.125300,257.561
0.015000,3.390001,90.00,26.971722,0.126100,257.561
0.015000,3.405001,90.00,26.971722,0.095200,257.561
0.015000,3.420001,90.00,26.971722,0.106400,257.561
0.015000,3.435001,90.00,31.875673,0.071700,304.390
0.015000,3.450001,90.00,28.606373,0.080200,273.171
0.015000,3.465001,90.00,26.971722,0.089600,257.561
0.015000,3.480001,90.00,26.971722,0.106800,257.561
0.015000,3.495001,90.00,26.971722,0.123900,257.561
0.015000,3.510001,90.00,29.423698,0.127200,280.976
0.015000,3.525001,90.00,26.971722,0.139100,257.561
0.015000,3.540001,90.00,30.241022,0.148100,288.780
0.015000,3.555001,90.00,28.606373,0.092900,273.171
0.015000,3.570001,90.00,26.971722,0.107800,257.561
0.015000,3.585001,90.00,28.606373,0.086500,273.171
0.015000,3.600001,90.00,26.971722,0.081200,257.561
0.015000,3.615001,90.00,26.971722,0.074600,257.561
0.015000,3.630001,90.00,28.606373,0.100300,273.171
0.015000,3.645001,90.00,26.971722,0.130000,257.561
0.015000,3.660001,90.00,30.241022,0.107400,288.780
0.015000,3.675001,90.00,30.241022,0.140800,288.780
0.015000,3.690001,90.00,28.606373,0.146400,273.171
0.015000,3.705001,90.00,27.380384,0.113600,261.463
0.015000,3.720001,90.00,27.380384,0.103800,261.463
0.015000,3.735001,90.00,26.971722,0.082800,257.561
