Ts_real_s,time_s,PWM_input,omega_rad_s,current_A,RPM
0.000000,0.005001,0.00,0.000000,0.000000,0.000
0.005000,0.010001,0.00,0.000000,0.000200,0.000
0.005000,0.015001,0.00,0.000000,0.000200,0.000
0.005000,0.020001,0.00,0.000000,0.000300,0.000
0.005000,0.025001,0.00,0.000000,0.000100,0.000
0.005000,0.030001,0.00,0.000000,0.000100,0.000
0.005000,0.035001,0.00,0.000000,0.000300,0.000
0.005000,0.040001,0.00,0.000000,0.000300,0.000
0.005000,0.045001,0.00,0.000000,0.000200,0.000
0.005000,0.050001,0.00,0.000000,0.000300,0.000
0.005000,0.055001,0.00,0.000000,0.000000,0.000
0.005000,0.060001,0.00,0.000000,0.000200,0.000
0.005000,0.065001,0.00,0.000000,0.000100,0.000
0.005000,0.070001,0.00,0.000000,0.000300,0.000
0.005000,0.075001,0.00,0.000000,0.000000,0.000
0.005000,0.080001,0.00,0.000000,0.000200,0.000
0.005000,0.085001,0.00,0.000000,0.000300,0.000
0.005000,0.090001,0.00,0.000000,0.000200,0.000
0.005000,0.095001,0.00,0.000000,0.000200,0.000
0.005000,0.100001,0.00,0.000000,0.000400,0.000
0.005000,0.105001,0.00,0.000000,0.000200,0.000
0.005000,0.110001,0.00,0.000000,0.000200,0.000
0.005000,0.115001,0.00,0.000000,0.000100,0.000
0.005000,0.120001,0.00,0.000000,0.000100,0.000
0.005000,0.125001,0.00,0.000000,0.000100,0.000
0.005000,0.130001,0.00,0.000000,0.000100,0.000
0.005000,0.135001,0.00,0.000000,0.000200,0.000
0.005000,0.140001,0.00,0.000000,0.000100,0.000
0.005000,0.145001,0.00,0.000000,0.000000,0.000
0.005000,0.150001,0.00,0.000000,0.000100,0.000
0.005000,0.155001,0.00,0.000000,0.000100,0.000
0.005000,0.160001,0.00,0.000000,0.000200,0.000
0.005000,0.165001,0.00,0.000000,0.000100,0.000
0.005000,0.170001,0.00,0.000000,0.000200,0.000
0.005000,0.175001,0.00,0.000000,0.000100,0.000
0.005000,0.180001,0.00,0.000000,0.000000,0.000
0.005000,0.185001,0.00,0.000000,0.000200,0.000
0.005000,0.190001,0.00,0.000000,0.000200,0.000
0.005000,0.195001,0.00,0.000000,0.000300,0.000
0.005000,0.200001,0.00,0.000000,0.000300,0.000
0.005000,0.205001,0.00,0.000000,0.000100,0.000
0.005000,0.210001,0.00,0.000000,0.000100,0.000
0.005000,0.215001,0.00,0.000000,0.000200,0.000
0.005000,0.220001,0.00,0.000000,-0.000100,0.000
0.005000,0.225001,0.00,0.000000,0.000100,0.000
0.005000,0.230001,0.00,0.000000,0.000100,0.000
0.005000,0.235001,0.00,0.000000,0.000000,0.000
0.005000,0.240001,0.00,0.000000,0.000000,0.000
0.005000,0.245001,0.00,0.000000,0.000200,0.000
0.005000,0.250001,0.00,0.000000,0.000100,0.000
0.005000,0.255001,0.00,0.000000,0.000000,0.000
0.005000,0.260001,0.00,0.000000,0.000300,0.000
0.005000,0.265001,0.00,0.000000,0.000100,0.000
0.005000,0.270001,0.00,0.000000,0.000200,0.000
0.005000,0.275001,0.00,0.000000,0.000100,0.000
0.005000,0.280001,0.00,0.000000,0.000100,0.000
0.005000,0.285001,0.00,0.000000,0.000000,0.000
0.005000,0.290001,0.00,0.000000,0.000000,0.000
0.005000,0.295001,0.00,0.000000,0.000100,0.000
0.005000,0.300001,0.00,0.000000,-0.000100,0.000
0.005000,0.305001,0.00,0.000000,0.000100,0.000
0.005000,0.310001,0.00,0.000000,0.000000,0.000
0.005000,0.315001,0.00,0.000000,0.000100,0.000
0.005000,0.320001,0.00,0.000000,0.000100,0.000
0.005000,0.325001,0.00,0.000000,0.000100,0.000
0.005000,0.330001,0.00,0.000000,0.000100,0.000
0.005000,0.335001,0.00,0.000000,0.000100,0.000
0.005000,0.340001,0.00,0.000000,-0.000100,0.000
0.005000,0.345001,0.00,0.000000,0.000000,0.000
0.005000,0.350001,0.00,0.000000,0.000200,0.000
0.005000,0.355001,0.00,0.000000,0.000100,0.000
0.005000,0.360001,0.00,0.000000,0.000300,0.000
0.005000,0.365001,0.00,0.000000,0.000000,0.000
0.005000,0.370001,0.00,0.000000,-0.000100,0.000
0.005000,0.375001,0.00,0.000000,0.000200,0.000
0.005000,0.380001,0.00,0.000000,0.000100,0.000
0.005000,0.385001,0.00,0.000000,0.000100,0.000
0.005000,0.390001,0.00,0.000000,-0.000100,0.000
0.005000,0.395001,0.00,0.000000,-0.000200,0.000
0.005000,0.400001,0.00,0.000000,0.000100,0.000
0.005000,0.405001,0.00,0.000000,0.000300,0.000
0.005000,0.410001,0.00,0.000000,0.000300,0.000
0.005000,0.415001,0.00,0.000000,0.000200,0.000
0.005000,0.420001,0.00,0.000000,0.000000,0.000
0.005000,0.425001,0.00,0.000000,0.000200,0.000
0.005000,0.430001,0.00,0.000000,0.000100,0.000
0.005000,0.435001,0.00,0.000000,0.000200,0.000
0.005000,0.440001,0.00,0.000000,-0.000100,0.000
0.005000,0.445001,0.00,0.000000,0.000400,0.000
0.005000,0.450001,0.00,0.000000,0.000100,0.000
0.005000,0.455001,0.00,0.000000,0.000100,0.000
0.005000,0.460001,0.00,0.000000,0.000100,0.000
0.005000,0.465001,0.00,0.000000,0.000300,0.000
0.005000,0.470001,0.00,0.000000,0.000300,0.000
0.005000,0.475001,0.00,0.000000,0.000100,0.000
0.005000,0.480001,0.00,0.000000,0.000200,0.000
0.005000,0.485001,0.00,0.000000,0.000000,0.000
0.005000,0.490001,0.00,0.000000,0.000200,0.000
0.005000,0.495001,0.00,0.000000,0.000300,0.000
0.005000,0.500001,0.00,0.000000,0.000300,0.000
0.005000,0.505001,0.00,0.000000,0.000200,0.000
0.005000,0.510001,0.00,0.000000,0.000100,0.000
0.005000,0.515001,0.00,0.000000,0.000000,0.000
0.005000,0.520001,0.00,0.000000,0.000000,0.000
0.005000,0.525001,0.00,0.000000,0.000100,0.000
0.005000,0.530001,0.00,0.000000,0.000200,0.000
0.005000,0.535001,0.00,0.000000,0.000000,0.000
0.005000,0.540001,0.00,0.000000,0.000000,0.000
0.005000,0.545001,0.00,0.000000,0.000000,0.000
0.005000,0.550001,0.00,0.000000,0.000100,0.000
0.005000,0.555001,0.00,0.000000,0.000000,0.000
0.005000,0.560001,0.00,0.000000,0.000000,0.000
0.005000,0.565001,0.00,0.000000,0.000300,0.000
0.005000,0.570001,0.00,0.000000,0.000200,0.000
0.005000,0.575001,0.00,0.000000,0.000300,0.000
0.005000,0.580001,0.00,0.000000,0.000300,0.000
0.005000,0.585001,0.00,0.000000,0.000000,0.000
0.005000,0.590001,0.00,0.000000,0.000000,0.000
0.005000,0.595001,0.00,0.000000,0.000200,0.000
0.005000,0.600001,0.00,0.000000,0.000100,0.000
0.005000,0.605001,0.00,0.000000,0.000300,0.000
0.005000,0.610001,0.00,0.000000,0.000000,0.000
0.005000,0.615001,0.00,0.000000,0.000200,0.000
0.005000,0.620001,0.00,0.000000,0.000100,0.000
0.005000,0.625001,0.00,0.000000,0.000000,0.000
0.005000,0.630001,0.00,0.000000,0.000200,0.000
0.005000,0.635001,0.00,0.000000,0.000000,0.000
0.005000,0.640001,0.00,0.000000,0.000100,0.000
0.005000,0.645001,0.00,0.000000,0.000100,0.000
0.005000,0.650001,0.00,0.000000,0.000100,0.000
0.005000,0.655001,0.00,0.000000,0.000100,0.000
0.005000,0.660001,0.00,0.000000,0.000500,0.000
0.005000,0.665001,0.00,0.000000,0.000200,0.000
0.005000,0.670001,0.00,0.000000,-0.000100,0.000
0.005000,0.675001,0.00,0.000000,0.000000,0.000
0.005000,0.680001,0.00,0.000000,0.000400,0.000
0.005000,0.685001,0.00,0.000000,0.000200,0.000
0.005000,0.690001,0.00,0.000000,0.000300,0.000
0.005000,0.695001,0.00,0.000000,0.000100,0.000
0.005000,0.700001,0.00,0.000000,0.000100,0.000
0.005000,0.705001,0.00,0.000000,0.000300,0.000
0.005000,0.710001,0.00,0.000000,0.000200,0.000
0.005000,0.715001,0.00,0.000000,0.000100,0.000
