Ts_real_s,time_s,PWM_input,omega_rad_s,current_A,RPM
0.000000,0.025001,0.00,0.000000,-0.000100,0.000
0.025000,0.050001,0.00,0.000000,-0.000100,0.000
0.025000,0.075001,0.00,0.000000,-0.000100,0.000
0.025000,0.100001,0.00,0.000000,0.000100,0.000
0.025000,0.125001,0.00,0.000000,0.000000,0.000
0.025000,0.150001,0.00,0.000000,0.000200,0.000
0.025000,0.175001,0.00,0.000000,0.000100,0.000
0.025000,0.200001,0.00,0.000000,0.000300,0.000
0.025000,0.225001,0.00,0.000000,0.000000,0.000
0.025000,0.250001,0.00,0.000000,0.000000,0.000
0.025000,0.275001,0.00,0.000000,0.000400,0.000
0.025000,0.300001,0.00,0.000000,0.000100,0.000
0.025000,0.325001,0.00,0.000000,0.000000,0.000
0.025000,0.350001,0.00,0.000000,0.000200,0.000
0.025000,0.375001,0.00,0.000000,0.000000,0.000
0.025000,0.400001,0.00,0.000000,0.000100,0.000
0.025000,0.425001,0.00,0.000000,0.000200,0.000
0.025000,0.450001,0.00,0.000000,0.000100,0.000
0.025000,0.475001,0.00,0.000000,0.000100,0.000
0.025000,0.500001,0.00,0.000000,0.000000,0.000
0.025000,0.525001,0.00,0.000000,0.000100,0.000
0.025000,0.550001,0.00,0.000000,0.000300,0.000
0.025000,0.575001,0.00,0.000000,0.000300,0.000
0.025000,0.600001,0.00,0.000000,0.000000,0.000
0.025000,0.625001,0.00,0.000000,0.000000,0.000
0.025000,0.650001,0.00,0.000000,0.000000,0.000
0.025000,0.675001,0.00,0.000000,0.000000,0.000
0.025000,0.700001,0.00,0.000000,0.000000,0.000
0.025000,0.725001,0.00,0.000000,0.000200,0.000
0.025000,0.750001,0.00,0.000000,0.000100,0.000
0.025000,0.775001,0.00,0.000000,0.000200,0.000
0.025000,0.800001,0.00,0.000000,0.000200,0.000
0.025000,0.825001,0.00,0.000000,0.000000,0.000
0.025000,0.850001,0.00,0.000000,0.000000,0.000
0.025000,0.875001,0.00,0.000000,0.000100,0.000
0.025000,0.900001,0.00,0.000000,0.000200,0.000
0.025000,0.925001,0.00,0.000000,-0.000100,0.000
0.025000,0.950001,0.00,0.000000,0.000000,0.000
0.025000,0.975001,0.00,0.000000,0.000200,0.000
0.025000,1.000001,0.00,0.000000,0.000400,0.000
-0.975000,1.025001,90.00,11.279083,0.844900,107.707
0.025000,1.050001,90.00,23.048563,0.410000,220.098
0.025000,1.075001,90.00,26.971722,0.191700,257.561
